站點編號,站點名稱,城市,鄉鎮,經度,緯度,海拔高度,觀測時間,天氣現象,能見度描述,日照時數,風向,風速,氣溫,相對濕度,氣壓,紫外線指數,即時降水量,當日最高溫,當日最低溫
C2O930,玉井,臺南市,玉井區,120.46055,23.126042,69.0,2026-02-24 15:50:00+08:00,多雲,-99,,300.0,1.3,30.2,53.0,,,0.0,31.7,18.2
C2R980,竹田國中,屏東縣,竹田鄉,120.52412,22.61532,18.0,2026-02-24 15:50:00+08:00,陰,-99,,250.0,2.2,29.2,54.0,,,0.0,31.0,20.6
469020,南沙島,高雄市,旗津區,114.364286,10.370203,4.5,2026-02-24 15:50:00+08:00,-99,-99,,30.0,2.4,28.8,80.0,1009.7,,0.0,30.0,26.5
C2N180,鹿陶洋,臺南市,楠西區,120.48352,23.14325,85.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,1.9,28.6,56.0,,,0.0,30.6,17.4
C2V250,甲仙,高雄市,甲仙區,120.591758,23.080106,298.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,0.8,28.6,55.0,,,0.0,29.9,17.8
C2O810,曾文,臺南市,楠西區,120.497328,23.219681,161.0,2026-02-24 15:50:00+08:00,多雲,-99,,350.0,1.3,28.4,55.0,,,0.0,30.6,18.5
72Q010,高雄農改,屏東縣,長治鄉,120.525889,22.709333,45.0,2026-02-24 15:50:00+08:00,陰,-99,,310.0,1.4,28.3,59.0,,,0.0,30.7,19.6
C2R970,屏科大,屏東縣,內埔鄉,120.619247,22.648275,128.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,2.6,28.2,59.0,,,0.0,30.4,19.5
C2R170,屏東,屏東縣,屏東市,120.494027,22.660269,35.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,0.5,28.2,61.0,,,0.0,30.4,20.2
C2RA10,大新,屏東縣,內埔鄉,120.57788,22.67558,51.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,3.4,28.2,55.0,,,0.0,30.0,18.5
C2V260,月眉,高雄市,杉林區,120.539853,22.971003,126.0,2026-02-24 15:50:00+08:00,多雲,-99,,280.0,2.5,28.1,61.0,,,0.0,29.7,18.4
72N100,臺南農改,臺南市,新化區,120.342194,23.0605,41.0,2026-02-24 15:50:00+08:00,多雲,-99,,,,27.9,62.0,,,0.0,28.8,17.8
CAQ010,國三N425K,屏東縣,南州鄉,120.531666,22.480277,33.0,2026-02-24 15:50:00+08:00,陰,-99,,230.0,4.0,27.8,69.0,,,0.0,29.7,19.3
CAQ020,國三S415K,屏東縣,竹田鄉,120.528,22.568,38.0,2026-02-24 15:50:00+08:00,陰,>30,,250.0,3.6,27.6,62.0,,,0.0,29.3,20.0
