測站編號,測站名稱,城市,經度,緯度,觀測時間,AQI,空氣品質等級,主要污染物,PM2.5,PM10,O3,O3_8hr,NO2,SO2,CO,CO_8hr,NOx,NO,風速,風向,PM2.5_平均,PM10_平均,SO2_平均
34,線西,彰化縣,120.469061,24.131672,2026-02-24 17:00:00,120.0,對敏感族群不健康,細懸浮微粒,,66.0,19.0,34.0,,,,0.2,,,2.6,35.0,38.3,73.0,1.0
75,馬祖,連江縣,119.952724,26.153736,2026-02-24 17:00:00,111.0,對敏感族群不健康,細懸浮微粒,35.0,53.0,33.0,32.0,11.0,0.8,0.37,0.4,12.8,1.3,0.4,161.0,34.6,68.0,1.0
45,安南,臺南市,120.2175,23.048197,2026-02-24 17:00:00,111.0,對敏感族群不健康,細懸浮微粒,29.0,73.0,62.0,50.0,5.0,1.4,0.3,0.3,6.3,0.7,3.0,311.0,34.7,90.0,1.0
140,林森,臺南市,120.22216042,22.98522502,2026-02-24 17:00:00,110.0,對敏感族群不健康,細懸浮微粒,32.0,72.0,53.0,47.0,17.0,1.5,0.6,0.5,22.6,4.6,1.6,26.0,34.2,80.0,0.0
46,臺南,臺南市,120.21947897,22.98928311,2026-02-24 17:00:00,110.0,對敏感族群不健康,細懸浮微粒,29.0,67.0,61.0,52.0,9.0,2.2,0.34,0.3,10.7,0.8,2.3,357.0,34.0,81.0,1.0
84,富貴角,新北市,121.53656894,25.29681695,2026-02-24 17:00:00,108.0,對敏感族群不健康,懸浮微粒,31.0,88.0,37.0,40.0,9.0,0.9,0.16,0.1,9.9,0.5,1.8,290.0,30.7,92.0,0.0
10,淡水,新北市,121.449239,25.1645,2026-02-24 17:00:00,107.0,對敏感族群不健康,懸浮微粒,22.0,87.0,17.0,23.0,19.0,0.6,0.24,0.2,21.4,2.2,,,27.7,91.0,1.0
18,大園,桃園市,121.20251473,25.06100357,2026-02-24 17:00:00,107.0,對敏感族群不健康,懸浮微粒,26.0,81.0,22.0,24.0,25.0,1.6,0.34,0.2,29.9,4.2,2.4,359.0,30.8,90.0,1.0
35,二林,彰化縣,120.409653,23.925175,2026-02-24 17:00:00,106.0,對敏感族群不健康,懸浮微粒,22.0,85.0,32.0,38.0,8.0,1.4,0.45,0.2,9.1,1.1,2.5,31.0,25.1,88.0,0.0
53,楠梓,高雄市,120.328289,22.733667,2026-02-24 17:00:00,104.0,對敏感族群不健康,懸浮微粒,21.0,58.0,50.0,46.0,7.0,1.2,0.26,0.3,7.9,0.5,2.1,287.0,28.0,82.0,1.0
25,頭份,苗栗縣,120.89869286,24.69690679,2026-02-24 17:00:00,104.0,對敏感族群不健康,懸浮微粒,21.0,54.0,22.0,29.0,18.0,1.5,0.34,0.2,20.7,2.0,1.4,322.0,23.8,84.0,1.0
42,嘉義,嘉義市,120.44125148,23.46477865,2026-02-24 17:00:00,104.0,對敏感族群不健康,細懸浮微粒,28.0,80.0,37.0,43.0,8.0,1.9,0.26,0.2,10.8,2.2,3.2,1.0,31.7,79.0,1.0
39,新港,嘉義縣,120.345531,23.554839,2026-02-24 17:00:00,104.0,對敏感族群不健康,懸浮微粒,31.0,85.0,39.0,43.0,5.0,1.0,0.21,0.2,7.5,1.5,2.9,337.0,28.3,83.0,0.0
20,平鎮,桃園市,121.203986,24.952786,2026-02-24 17:00:00,101.0,對敏感族群不健康,懸浮微粒,21.0,48.0,32.0,28.0,21.0,0.3,0.54,0.3,23.0,2.0,0.3,270.0,28.3,77.0,0.0
19,觀音,桃園市,121.08283092,25.03556747,2026-02-24 17:00:00,101.0,對敏感族群不健康,懸浮微粒,25.0,61.0,35.0,33.0,13.0,1.8,0.24,0.2,14.9,1.6,1.8,325.0,27.3,76.0,2.0
43,新營,臺南市,120.31725,23.305633,2026-02-24 17:00:00,101.0,對敏感族群不健康,懸浮微粒,24.0,67.0,47.0,43.0,7.0,1.4,0.23,0.2,9.4,1.8,2.8,18.0,24.7,77.0,0.0
44,善化,臺南市,120.29740529,23.11337642,2026-02-24 17:00:00,101.0,對敏感族群不健康,懸浮微粒,25.0,67.0,57.0,48.0,6.0,1.5,0.23,0.2,8.3,1.5,3.8,360.0,29.0,76.0,1.0
38,崙背,雲林縣,120.348742,23.757547,2026-02-24 17:00:00,99.0,普通,懸浮微粒,31.0,73.0,35.0,40.0,5.0,1.4,0.2,0.2,7.2,2.1,1.5,44.0,28.8,74.0,1.0
