測站名稱,城市,測站緯度,測站經度,台北車站緯度,台北車站經度,距離_公里,AQI,空氣品質等級,觀測時間
線西,彰化縣,24.131672,120.469061,25.0478,121.517,146.98,120.0,對敏感族群不健康,2026-02-24 17:00:00
馬祖,連江縣,26.153736,119.952724,25.0478,121.517,199.32,111.0,對敏感族群不健康,2026-02-24 17:00:00
安南,臺南市,23.048197,120.2175,25.0478,121.517,258.55,111.0,對敏感族群不健康,2026-02-24 17:00:00
林森,臺南市,22.98522502,120.22216042,25.0478,121.517,264.37,110.0,對敏感族群不健康,2026-02-24 17:00:00
臺南,臺南市,22.98928311,120.21947897,25.0478,121.517,264.12,110.0,對敏感族群不健康,2026-02-24 17:00:00
富貴角,新北市,25.29681695,121.53656894,25.0478,121.517,27.76,108.0,對敏感族群不健康,2026-02-24 17:00:00
淡水,新北市,25.1645,121.449239,25.0478,121.517,14.66,107.0,對敏感族群不健康,2026-02-24 17:00:00
大園,桃園市,25.06100357,121.20251473,25.0478,121.517,31.71,107.0,對敏感族群不健康,2026-02-24 17:00:00
二林,彰化縣,23.925175,120.409653,25.0478,121.517,167.75,106.0,對敏感族群不健康,2026-02-24 17:00:00
楠梓,高雄市,22.733667,120.328289,25.0478,121.517,284.28,104.0,對敏感族群不健康,2026-02-24 17:00:00
頭份,苗栗縣,24.69690679,120.89869286,25.0478,121.517,73.57,104.0,對敏感族群不健康,2026-02-24 17:00:00
嘉義,嘉義市,23.46477865,120.44125148,25.0478,121.517,207.07,104.0,對敏感族群不健康,2026-02-24 17:00:00
新港,嘉義縣,23.554839,120.345531,25.0478,121.517,204.09,104.0,對敏感族群不健康,2026-02-24 17:00:00
平鎮,桃園市,24.952786,121.203986,25.0478,121.517,33.27,101.0,對敏感族群不健康,2026-02-24 17:00:00
觀音,桃園市,25.03556747,121.08283092,25.0478,121.517,43.76,101.0,對敏感族群不健康,2026-02-24 17:00:00
新營,臺南市,23.305633,120.31725,25.0478,121.517,228.77,101.0,對敏感族群不健康,2026-02-24 17:00:00
