測站名稱,城市,測站緯度,測站經度,台北車站緯度,台北車站經度,距離_公里,氣溫,觀測時間
玉井,臺南市,23.126042,120.46055,25.0478,121.517,239.09,30.2,2026-02-24 15:50:00+08:00
竹田國中,屏東縣,22.61532,120.52412,25.0478,121.517,288.71,29.2,2026-02-24 15:50:00+08:00
南沙島,高雄市,10.370203,114.364286,25.0478,121.517,1798.2,28.8,2026-02-24 15:50:00+08:00
鹿陶洋,臺南市,23.14325,120.48352,25.0478,121.517,236.33,28.6,2026-02-24 15:50:00+08:00
甲仙,高雄市,23.080106,120.591758,25.0478,121.517,238.11,28.6,2026-02-24 15:50:00+08:00
曾文,臺南市,23.219681,120.497328,25.0478,121.517,228.09,28.4,2026-02-24 15:50:00+08:00
高雄農改,屏東縣,22.709333,120.525889,25.0478,121.517,278.87,28.3,2026-02-24 15:50:00+08:00
屏科大,屏東縣,22.648275,120.619247,25.0478,121.517,282.0,28.2,2026-02-24 15:50:00+08:00
屏東,屏東縣,22.660269,120.494027,25.0478,121.517,285.13,28.2,2026-02-24 15:50:00+08:00
大新,屏東縣,22.67558,120.57788,25.0478,121.517,280.53,28.2,2026-02-24 15:50:00+08:00
月眉,高雄市,22.971003,120.539853,25.0478,121.517,251.35,28.1,2026-02-24 15:50:00+08:00
臺南農改,臺南市,23.0605,120.342194,25.0478,121.517,251.11,27.9,2026-02-24 15:50:00+08:00
國三N425K,屏東縣,22.480277,120.531666,25.0478,121.517,302.59,27.8,2026-02-24 15:50:00+08:00
國三S415K,屏東縣,22.568,120.528,25.0478,121.517,293.52,27.6,2026-02-24 15:50:00+08:00
西拉雅風管處,臺南市,23.189481,120.335297,25.0478,121.517,238.91,27.5,2026-02-24 15:50:00+08:00
鳳山農試,高雄市,22.646611,120.356083,25.0478,121.517,291.93,27.4,2026-02-24 15:50:00+08:00
太麻里(2),臺東縣,22.598,120.99775,25.0478,121.517,277.48,27.3,2026-02-24 15:50:00+08:00
匏子寮,高雄市,23.04905,120.55319,25.0478,121.517,242.84,27.3,2026-02-24 15:50:00+08:00
美濃,高雄市,22.898792,120.51907,25.0478,121.517,259.58,27.2,2026-02-24 15:50:00+08:00
高雄燈塔,高雄市,22.614594,120.26468,25.0478,121.517,299.04,27.1,2026-02-24 15:50:00+08:00
恆春工作站,屏東縣,22.079678,120.714425,25.0478,121.517,340.02,27.0,2026-02-24 15:50:00+08:00
東港工作站,屏東縣,22.479997,120.466058,25.0478,121.517,304.9,27.0,2026-02-24 15:50:00+08:00
高雄,高雄市,22.730432,120.312516,25.0478,121.517,285.29,27.0,2026-02-24 15:50:00+08:00
