序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,預計收容人數,室內,室外,最近AQI站點,最近AQI站點經度,最近AQI站點緯度,距離(km),最近AQI值,風險等級
1,五峰活動中心,新竹縣,,,121.073,24.386,110,是,否,新竹站,120.96,24.81,48.51,35,Low Risk
31,尖山國小操場,苗栗縣頭份市,尖下里,尖豐路305號,120.894048,24.64686,200,否,是,新竹站,120.96,24.81,19.32,35,Low Risk
3776,上新社區籃槌球場,苗栗縣卓蘭鎮,上新里,"水廠段912,913,916,917,919,920地號",120.8345,24.2991,100,否,是,台中站,120.67,24.14,24.32,75,Warning
3777,內灣國小操場,苗栗縣卓蘭鎮,內灣里,內灣里120號,120.8495,24.2991,200,否,是,台中站,120.67,24.14,25.38,75,Warning
3778,上新老人文康中心,苗栗縣卓蘭鎮,上新里,3鄰41-2號,120.83172,24.302705,100,是,否,台中站,120.67,24.14,24.42,75,Low Risk
3796,卓蘭國小活動中心,苗栗縣卓蘭鎮,新厝里,中山路125號,120.8248,24.3122,200,是,否,台中站,120.67,24.14,24.76,75,Low Risk
3797,卓蘭國小操場,苗栗縣卓蘭鎮,新榮里,中山路125號,120.8248,24.3122,500,否,是,台中站,120.67,24.14,24.76,75,Warning
3813,坪林社區活動中心,苗栗縣卓蘭鎮,坪林里,2鄰8之1號,120.8761,24.3358,100,是,否,台中站,120.67,24.14,30.18,75,Low Risk
3814,景山國小操場,苗栗縣卓蘭鎮,景山里,5鄰88號,120.8763,24.3358,100,否,是,台中站,120.67,24.14,30.19,75,Warning
3819,雙連國小操場,苗栗縣卓蘭鎮,坪林里,雙連16-1號,120.8419,24.3449,100,否,是,台中站,120.67,24.14,28.69,75,Warning
3823,梅園村活動中心,苗栗縣泰安鄉,梅園村,6鄰36號,120.9304,24.3479,100,是,否,台中站,120.67,24.14,35.09,75,Low Risk
3824,新開國小操場,苗栗縣大湖鄉,新開村,新開25號,120.826351,24.348257,100,否,是,台中站,120.67,24.14,28.06,75,Warning
3825,新開國小,苗栗縣大湖鄉,新開村,4鄰新開25號,120.826351,24.348257,100,是,否,台中站,120.67,24.14,28.06,75,Low Risk
3829,豐田國小操場,苗栗縣卓蘭鎮,豐田里,3鄰36號,120.8577,24.3517,200,否,是,台中站,120.67,24.14,30.27,75,Warning
3830,坪林國小操場,苗栗縣卓蘭鎮,坪林里,7鄰86-2號,120.8653,24.3526,200,否,是,台中站,120.67,24.14,30.84,75,Warning
3833,景山社區活動中心,苗栗縣卓蘭鎮,景山里,5鄰78號,120.8671,24.3587,50,是,否,台中站,120.67,24.14,31.48,75,Low Risk
3834,士林國小,苗栗縣泰安鄉,士林村,5鄰26號,120.947,24.3605,150,是,否,台中站,120.67,24.14,37.28,75,Low Risk
3835,象鼻村活動中心,苗栗縣泰安鄉,象鼻村,1鄰7號,120.94702,24.360527,160,是,否,台中站,120.67,24.14,37.28,75,Low Risk
3836,象鼻村活動中心戶外廣場,苗栗縣泰安鄉,象鼻村,1鄰7號,120.938938,24.362245,100,否,是,台中站,120.67,24.14,36.8,75,Warning
3838,栗林國小操場,苗栗縣大湖鄉,栗林村,5鄰四份61號,120.842715,24.373502,100,否,是,台中站,120.67,24.14,31.32,75,Warning
